method,id,item,error,gold_evidence
extractor,PPS-DEV-042,v5,FP,
extractor,PPS-DEV-043,v5,FP,
extractor,PPS-DEV-046,v7,FP,
scan,PPS-DEV-047,v5,FN,
extractor,PPS-DEV-047,v5,FN,
scan,PPS-DEV-048,v5,FN,
scan,PPS-DEV-048,v8,FN,
extractor,PPS-DEV-048,v4,FP,
extractor,PPS-DEV-048,v5,FN,
extractor,PPS-DEV-049,v4,FP,
scan,PPS-DEV-050,v7,FN,❍ 공고일 전 일부터 입찰일까지(낙찰자는 계약체결일까지) 전라남도 또는 경상남도에 주된 영업소를 둔 업체
extractor,PPS-DEV-050,v5,FP,
extractor,PPS-DEV-050,v7,FN,❍ 공고일 전 일부터 입찰일까지(낙찰자는 계약체결일까지) 전라남도 또는 경상남도에 주된 영업소를 둔 업체
scan,PPS-DEV-051,v4,FN,③ 최근 5년 이내 이동형X선 투시장치(C-ARM) 장비 3억원 이상 대학병원에 납품한 실적이 있는 업체
extractor,PPS-DEV-052,v4,FP,
extractor,PPS-DEV-052,v5,FP,
scan,PPS-DEV-053,v4,FN,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것
scan,PPS-DEV-054,v7,FN,"가. 입찰공고일 현재「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」제13조 및 같은 법 시행규칙 제14조에 따라 입찰의 참가자격을 갖춘 자로, 입찰공고일 전일부터 계약체결일까지 주된 영업소의 소재지를 경상남도, 부산광역시 내에 둔 사업자로 제한하며, 동법 시행령 제92조(부정당업자의 입찰참가자격 제한) 및 동법 시행규칙 제76조에 해당되지 않은 업체"
extractor,PPS-DEV-054,v4,FP,
extractor,PPS-DEV-054,v5,FP,
extractor,PPS-DEV-054,v7,FN,"가. 입찰공고일 현재「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」제13조 및 같은 법 시행규칙 제14조에 따라 입찰의 참가자격을 갖춘 자로, 입찰공고일 전일부터 계약체결일까지 주된 영업소의 소재지를 경상남도, 부산광역시 내에 둔 사업자로 제한하며, 동법 시행령 제92조(부정당업자의 입찰참가자격 제한) 및 동법 시행규칙 제76조에 해당되지 않은 업체"
scan,PPS-DEV-057,v5,FN,
extractor,PPS-DEV-057,v4,FP,
extractor,PPS-DEV-058,v4,FP,
extractor,PPS-DEV-058,v5,FP,
extractor,PPS-DEV-058,v6,FP,
extractor,PPS-DEV-058,v7,FP,
scan,PPS-DEV-059,v4,FN,"◦ 공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
extractor,PPS-DEV-059,v5,FP,
extractor,PPS-DEV-059,v6,FP,
extractor,PPS-DEV-059,v7,FP,
scan,PPS-DEV-061,v6,FN,
extractor,PPS-DEV-061,v4,FP,
extractor,PPS-DEV-061,v5,FP,
extractor,PPS-DEV-061,v7,FP,
scan,PPS-DEV-062,v4,FN,"2) 공고일 전일 기준 최근 5년 이내 국가,정부투자기관에서 시행한 단일 건 3억 원(VAT포함) 이상의 축제, 공연 등 문화행사 수행실적이 있어야 합니다."
extractor,PPS-DEV-062,v5,FP,
extractor,PPS-DEV-062,v6,FP,
extractor,PPS-DEV-062,v7,FP,
scan,PPS-DEV-063,v7,FN,마. 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 주된 영업소(지점 및 대리점 포함)“대구광역시”또는“경상북도”에 둔 업체
extractor,PPS-DEV-063,v4,FP,
extractor,PPS-DEV-063,v5,FP,
extractor,PPS-DEV-063,v7,FN,마. 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 주된 영업소(지점 및 대리점 포함)“대구광역시”또는“경상북도”에 둔 업체
extractor,PPS-DEV-064,v4,FP,
extractor,PPS-DEV-064,v5,FP,
scan,PPS-DEV-066,v6,FN,
extractor,PPS-DEV-066,v4,FP,
extractor,PPS-DEV-066,v5,FP,
extractor,PPS-DEV-067,v5,FP,
extractor,PPS-DEV-069,v4,FP,
extractor,PPS-DEV-070,v5,FP,
extractor,PPS-DEV-070,v7,FP,
scan,PPS-DEV-071,v6,FN,
extractor,PPS-DEV-071,v4,FP,
extractor,PPS-DEV-071,v5,FP,
extractor,PPS-DEV-071,v6,FN,
scan,PPS-DEV-072,v6,FN,
scan,PPS-DEV-072,v7,FN,2) 입찰공고일 전일부터 계약체결일까지 법인등기부상 본점 소재지(개인사업자인 경우 사업장등록증 또는 관련 법령에 따른 허가·면허·등록·신고에 관련된 서류에 기재된 사업장의 소재지)를 계속 경기도 [지역:r1|단위=기초|광역=경기도] 또는 제주도에 둔 업체
extractor,PPS-DEV-072,v4,FP,
extractor,PPS-DEV-072,v5,FP,
extractor,PPS-DEV-074,v5,FP,
extractor,PPS-DEV-074,v6,FP,
extractor,PPS-DEV-074,v7,FP,
extractor,PPS-DEV-076,v4,FP,
extractor,PPS-DEV-076,v5,FP,
extractor,PPS-DEV-077,v5,FP,
extractor,PPS-DEV-078,v4,FP,
extractor,PPS-DEV-079,v5,FP,
extractor,PPS-DEV-079,v6,FP,
extractor,PPS-DEV-081,v4,FP,
extractor,PPS-DEV-081,v5,FP,
extractor,PPS-DEV-082,v4,FP,
extractor,PPS-DEV-082,v5,FP,
extractor,PPS-DEV-082,v6,FP,
extractor,PPS-DEV-082,v7,FP,
scan,PPS-DEV-083,v6,FP,
extractor,PPS-DEV-083,v5,FP,
extractor,PPS-DEV-083,v6,FP,
extractor,PPS-DEV-083,v7,FP,
extractor,PPS-DEV-084,v5,FP,
extractor,PPS-DEV-084,v7,FP,
extractor,PPS-DEV-085,v4,FP,
extractor,PPS-DEV-086,v4,FP,
extractor,PPS-DEV-086,v5,FP,
extractor,PPS-DEV-087,v4,FP,
extractor,PPS-DEV-087,v5,FP,
extractor,PPS-DEV-087,v6,FP,
extractor,PPS-DEV-087,v7,FP,
extractor,PPS-DEV-088,v5,FP,
extractor,PPS-DEV-088,v6,FP,
extractor,PPS-DEV-088,v7,FP,
extractor,PPS-DEV-089,v5,FP,
extractor,PPS-DEV-090,v5,FP,
extractor,PPS-DEV-090,v6,FP,
extractor,PPS-DEV-090,v7,FP,
extractor,PPS-DEV-091,v5,FP,
extractor,PPS-DEV-091,v6,FP,
extractor,PPS-DEV-091,v7,FP,
extractor,PPS-DEV-092,v5,FP,
extractor,PPS-DEV-093,v4,FP,
extractor,PPS-DEV-093,v5,FP,
extractor,PPS-DEV-095,v5,FP,
extractor,PPS-DEV-095,v6,FP,
extractor,PPS-DEV-095,v7,FP,
extractor,PPS-DEV-096,v4,FP,
extractor,PPS-DEV-096,v5,FP,
extractor,PPS-DEV-096,v6,FP,
extractor,PPS-DEV-096,v7,FP,
extractor,PPS-DEV-097,v5,FP,
extractor,PPS-DEV-097,v6,FP,
extractor,PPS-DEV-097,v7,FP,
extractor,PPS-DEV-098,v4,FP,
extractor,PPS-DEV-098,v5,FP,
extractor,PPS-DEV-099,v4,FP,
extractor,PPS-DEV-099,v5,FP,
extractor,PPS-DEV-099,v6,FP,
extractor,PPS-DEV-099,v7,FP,
extractor,PPS-DEV-100,v5,FP,
extractor,PPS-DEV-100,v6,FP,
extractor,PPS-DEV-100,v7,FP,
extractor,PPS-DEV-101,v4,FP,
extractor,PPS-DEV-101,v5,FP,
extractor,PPS-DEV-101,v6,FP,
extractor,PPS-DEV-101,v7,FP,
extractor,PPS-DEV-102,v5,FP,
extractor,PPS-DEV-102,v6,FP,
extractor,PPS-DEV-102,v7,FP,
extractor,PPS-DEV-103,v4,FP,
extractor,PPS-DEV-103,v5,FP,
extractor,PPS-DEV-103,v6,FP,
extractor,PPS-DEV-103,v7,FP,
extractor,PPS-DEV-104,v5,FP,
extractor,PPS-DEV-105,v5,FP,
extractor,PPS-DEV-105,v6,FP,
extractor,PPS-DEV-105,v7,FP,
extractor,PPS-DEV-106,v5,FP,
extractor,PPS-DEV-106,v6,FP,
extractor,PPS-DEV-106,v7,FP,
extractor,PPS-DEV-107,v5,FP,
extractor,PPS-DEV-107,v6,FP,
extractor,PPS-DEV-107,v7,FP,
extractor,PPS-DEV-108,v5,FP,
extractor,PPS-DEV-109,v4,FP,
extractor,PPS-DEV-109,v5,FP,
extractor,PPS-DEV-109,v6,FP,
extractor,PPS-DEV-109,v7,FP,
extractor,PPS-DEV-110,v5,FP,
extractor,PPS-DEV-110,v6,FP,
extractor,PPS-DEV-110,v7,FP,
extractor,PPS-DEV-111,v4,FP,
extractor,PPS-DEV-111,v5,FP,
extractor,PPS-DEV-111,v6,FP,
extractor,PPS-DEV-111,v7,FP,
extractor,PPS-DEV-112,v4,FP,
extractor,PPS-DEV-112,v5,FP,
extractor,PPS-DEV-113,v5,FP,
extractor,PPS-DEV-113,v6,FP,
extractor,PPS-DEV-113,v7,FP,
extractor,PPS-DEV-114,v5,FP,
extractor,PPS-DEV-115,v5,FP,
extractor,PPS-DEV-115,v6,FP,
extractor,PPS-DEV-115,v7,FP,
extractor,PPS-DEV-116,v4,FP,
extractor,PPS-DEV-116,v5,FP,
extractor,PPS-DEV-116,v6,FP,
extractor,PPS-DEV-117,v4,FP,
extractor,PPS-DEV-119,v4,FP,
extractor,PPS-DEV-119,v5,FP,
extractor,PPS-DEV-119,v6,FP,
extractor,PPS-DEV-119,v7,FP,
extractor,PPS-DEV-121,v4,FP,
extractor,PPS-DEV-121,v5,FP,
extractor,PPS-DEV-121,v6,FP,
extractor,PPS-DEV-121,v7,FP,
extractor,PPS-DEV-122,v5,FP,
extractor,PPS-DEV-122,v6,FP,
extractor,PPS-DEV-122,v7,FP,
extractor,PPS-DEV-123,v4,FP,
extractor,PPS-DEV-123,v5,FP,
extractor,PPS-DEV-123,v6,FP,
extractor,PPS-DEV-123,v7,FP,
extractor,PPS-DEV-124,v4,FP,
extractor,PPS-DEV-124,v5,FP,
extractor,PPS-DEV-124,v6,FP,
extractor,PPS-DEV-125,v4,FP,
extractor,PPS-DEV-125,v5,FP,
extractor,PPS-DEV-125,v6,FP,
extractor,PPS-DEV-125,v7,FP,
extractor,PPS-DEV-126,v5,FP,
extractor,PPS-DEV-126,v6,FP,
extractor,PPS-DEV-126,v7,FP,
extractor,PPS-DEV-127,v4,FP,
extractor,PPS-DEV-127,v5,FP,
extractor,PPS-DEV-127,v6,FP,
extractor,PPS-DEV-127,v7,FP,
extractor,PPS-DEV-128,v5,FP,
extractor,PPS-DEV-129,v4,FP,
extractor,PPS-DEV-129,v5,FP,
extractor,PPS-DEV-129,v6,FP,
extractor,PPS-DEV-129,v7,FP,
extractor,PPS-DEV-130,v5,FP,
extractor,PPS-DEV-130,v6,FP,
extractor,PPS-DEV-130,v7,FP,
extractor,PPS-DEV-132,v5,FP,
extractor,PPS-DEV-132,v6,FP,
extractor,PPS-DEV-132,v7,FP,
extractor,PPS-DEV-134,v4,FP,
extractor,PPS-DEV-134,v5,FP,
extractor,PPS-DEV-134,v6,FP,
extractor,PPS-DEV-134,v7,FP,
extractor,PPS-DEV-135,v5,FP,
extractor,PPS-DEV-135,v6,FP,
extractor,PPS-DEV-135,v7,FP,
extractor,PPS-DEV-136,v5,FP,
extractor,PPS-DEV-137,v4,FP,
extractor,PPS-DEV-137,v5,FP,
extractor,PPS-DEV-137,v6,FP,
extractor,PPS-DEV-137,v7,FP,
scan,PPS-DEV-138,v2,FP,
extractor,PPS-DEV-138,v4,FP,
extractor,PPS-DEV-138,v5,FP,
extractor,PPS-DEV-138,v6,FP,
extractor,PPS-DEV-138,v7,FP,
extractor,PPS-DEV-139,v5,FP,
extractor,PPS-DEV-139,v6,FP,
extractor,PPS-DEV-139,v7,FP,
extractor,PPS-DEV-140,v4,FP,
extractor,PPS-DEV-140,v5,FP,
scan,PPS-DEV-141,v4,FP,
extractor,PPS-DEV-141,v4,FP,
extractor,PPS-DEV-141,v5,FP,
extractor,PPS-DEV-143,v4,FP,
extractor,PPS-DEV-143,v5,FP,
extractor,PPS-DEV-143,v6,FP,
extractor,PPS-DEV-143,v7,FP,
extractor,PPS-DEV-144,v5,FP,
extractor,PPS-DEV-144,v6,FP,
extractor,PPS-DEV-144,v7,FP,
extractor,PPS-DEV-145,v4,FP,
extractor,PPS-DEV-145,v5,FP,
extractor,PPS-DEV-145,v6,FP,
extractor,PPS-DEV-145,v7,FP,
extractor,PPS-DEV-146,v5,FP,
extractor,PPS-DEV-146,v7,FP,
scan,PPS-DEV-147,v6,FP,
scan,PPS-DEV-147,v7,FP,
extractor,PPS-DEV-147,v4,FP,
extractor,PPS-DEV-147,v5,FP,
extractor,PPS-DEV-147,v6,FP,
extractor,PPS-DEV-147,v7,FP,
extractor,PPS-DEV-149,v4,FP,
extractor,PPS-DEV-149,v5,FP,
extractor,PPS-DEV-149,v6,FP,
extractor,PPS-DEV-149,v7,FP,
extractor,PPS-DEV-151,v4,FP,
extractor,PPS-DEV-151,v5,FP,
extractor,PPS-DEV-151,v6,FP,
extractor,PPS-DEV-151,v7,FP,
extractor,PPS-DEV-152,v4,FP,
extractor,PPS-DEV-152,v5,FP,
extractor,PPS-DEV-152,v6,FP,
extractor,PPS-DEV-153,v4,FP,
extractor,PPS-DEV-153,v5,FP,
extractor,PPS-DEV-153,v6,FP,
extractor,PPS-DEV-153,v7,FP,
extractor,PPS-DEV-154,v5,FP,
extractor,PPS-DEV-154,v6,FP,
extractor,PPS-DEV-154,v7,FP,
extractor,PPS-DEV-155,v4,FP,
extractor,PPS-DEV-155,v5,FP,
extractor,PPS-DEV-155,v6,FP,
extractor,PPS-DEV-155,v7,FP,
extractor,PPS-DEV-156,v5,FP,
extractor,PPS-DEV-156,v6,FP,
extractor,PPS-DEV-156,v7,FP,
extractor,PPS-DEV-157,v4,FP,
extractor,PPS-DEV-157,v5,FP,
extractor,PPS-DEV-157,v6,FP,
extractor,PPS-DEV-157,v7,FP,
extractor,PPS-DEV-158,v5,FP,
extractor,PPS-DEV-158,v6,FP,
extractor,PPS-DEV-158,v7,FP,
extractor,PPS-DEV-159,v4,FP,
extractor,PPS-DEV-159,v5,FP,
extractor,PPS-DEV-159,v6,FP,
extractor,PPS-DEV-159,v7,FP,
extractor,PPS-DEV-160,v5,FP,
extractor,PPS-DEV-160,v6,FP,
extractor,PPS-DEV-160,v7,FP,
extractor,PPS-DEV-161,v4,FP,
extractor,PPS-DEV-161,v5,FP,
scan,PPS-DEV-162,v5,FP,
extractor,PPS-DEV-162,v4,FP,
extractor,PPS-DEV-162,v5,FP,
extractor,PPS-DEV-162,v6,FP,
extractor,PPS-DEV-162,v7,FP,
extractor,PPS-DEV-163,v5,FP,
extractor,PPS-DEV-163,v7,FP,
extractor,PPS-DEV-164,v5,FP,
extractor,PPS-DEV-165,v4,FP,
extractor,PPS-DEV-165,v5,FP,
extractor,PPS-DEV-165,v6,FP,
extractor,PPS-DEV-165,v7,FP,
extractor,PPS-DEV-166,v5,FP,
extractor,PPS-DEV-166,v6,FP,
extractor,PPS-DEV-166,v7,FP,
extractor,PPS-DEV-167,v5,FP,
extractor,PPS-DEV-167,v6,FP,
extractor,PPS-DEV-167,v7,FP,
extractor,PPS-DEV-168,v5,FP,
extractor,PPS-DEV-169,v4,FP,
extractor,PPS-DEV-169,v5,FP,
extractor,PPS-DEV-169,v6,FP,
extractor,PPS-DEV-169,v7,FP,
extractor,PPS-DEV-170,v4,FP,
extractor,PPS-DEV-170,v5,FP,
extractor,PPS-DEV-170,v6,FP,
extractor,PPS-DEV-170,v7,FP,
extractor,PPS-DEV-171,v4,FP,
extractor,PPS-DEV-171,v5,FP,
extractor,PPS-DEV-171,v6,FP,
extractor,PPS-DEV-171,v7,FP,
extractor,PPS-DEV-172,v5,FP,
extractor,PPS-DEV-172,v6,FP,
extractor,PPS-DEV-173,v4,FP,
extractor,PPS-DEV-173,v5,FP,
extractor,PPS-DEV-174,v5,FP,
scan,PPS-DEV-175,v6,FP,
extractor,PPS-DEV-175,v4,FP,
extractor,PPS-DEV-175,v5,FP,
extractor,PPS-DEV-176,v5,FP,
extractor,PPS-DEV-176,v6,FP,
extractor,PPS-DEV-176,v7,FP,
scan,PPS-DEV-177,v6,FP,
extractor,PPS-DEV-177,v5,FP,
extractor,PPS-DEV-177,v6,FP,
extractor,PPS-DEV-177,v7,FP,
extractor,PPS-DEV-178,v4,FP,
extractor,PPS-DEV-178,v5,FP,
extractor,PPS-DEV-178,v6,FP,
extractor,PPS-DEV-178,v7,FP,
extractor,PPS-DEV-180,v4,FP,
extractor,PPS-DEV-181,v4,FP,
extractor,PPS-DEV-181,v5,FP,
extractor,PPS-DEV-181,v7,FP,
extractor,PPS-DEV-183,v4,FP,
extractor,PPS-DEV-183,v5,FP,
extractor,PPS-DEV-183,v6,FP,
extractor,PPS-DEV-183,v7,FP,
extractor,PPS-DEV-184,v5,FP,
extractor,PPS-DEV-185,v4,FP,
extractor,PPS-DEV-185,v5,FP,
extractor,PPS-DEV-185,v6,FP,
extractor,PPS-DEV-185,v7,FP,
extractor,PPS-DEV-186,v4,FP,
extractor,PPS-DEV-186,v5,FP,
extractor,PPS-DEV-187,v5,FP,
extractor,PPS-DEV-187,v6,FP,
extractor,PPS-DEV-187,v7,FP,
extractor,PPS-DEV-188,v4,FP,
extractor,PPS-DEV-188,v5,FP,
extractor,PPS-DEV-188,v6,FP,
extractor,PPS-DEV-188,v7,FP,
extractor,PPS-DEV-189,v4,FP,
extractor,PPS-DEV-189,v5,FP,
extractor,PPS-DEV-189,v7,FP,
extractor,PPS-DEV-190,v5,FP,
extractor,PPS-DEV-190,v6,FP,
extractor,PPS-DEV-190,v7,FP,
extractor,PPS-DEV-191,v4,FP,
extractor,PPS-DEV-191,v5,FP,
extractor,PPS-DEV-191,v6,FP,
extractor,PPS-DEV-191,v7,FP,
extractor,PPS-DEV-192,v5,FP,
extractor,PPS-DEV-192,v6,FP,
extractor,PPS-DEV-192,v7,FP,
extractor,PPS-DEV-193,v4,FP,
extractor,PPS-DEV-194,v4,FP,
extractor,PPS-DEV-194,v5,FP,
extractor,PPS-DEV-194,v7,FP,
extractor,PPS-DEV-195,v4,FP,
extractor,PPS-DEV-195,v5,FP,
extractor,PPS-DEV-195,v6,FP,
extractor,PPS-DEV-195,v7,FP,
extractor,PPS-DEV-197,v4,FP,
extractor,PPS-DEV-197,v5,FP,
extractor,PPS-DEV-197,v6,FP,
extractor,PPS-DEV-197,v7,FP,
extractor,PPS-DEV-198,v5,FP,
extractor,PPS-DEV-198,v6,FP,
extractor,PPS-DEV-198,v7,FP,
extractor,PPS-DEV-199,v4,FP,
extractor,PPS-DEV-199,v5,FP,
extractor,PPS-DEV-199,v6,FP,
extractor,PPS-DEV-199,v7,FP,
extractor,PPS-DEV-200,v5,FP,
extractor,PPS-DEV-200,v6,FP,
extractor,PPS-DEV-200,v7,FP,
