id,item,gold,original,candidate,change
PPS-DEV-079,v6,0,1,0,fixed
PPS-DEV-079,v11,0,1,0,fixed
PPS-DEV-079,v15,1,1,0,regressed
PPS-DEV-079,v16,0,1,0,fixed
PPS-DEV-082,v18,0,1,0,fixed
PPS-DEV-084,v5,0,1,0,fixed
PPS-DEV-084,v14,0,1,0,fixed
PPS-DEV-088,v5,0,1,0,fixed
PPS-DEV-088,v9,0,1,0,fixed
PPS-DEV-088,v19,0,1,0,fixed
PPS-DEV-093,v11,0,1,0,fixed
PPS-DEV-094,v11,0,0,1,regressed
PPS-DEV-094,v16,0,1,0,fixed
PPS-DEV-095,v6,0,1,0,fixed
PPS-DEV-096,v9,0,1,0,fixed
PPS-DEV-096,v23,0,1,0,fixed
PPS-DEV-097,v14,0,1,0,fixed
PPS-DEV-097,v18,0,1,0,fixed
PPS-DEV-098,v9,0,1,0,fixed
PPS-DEV-099,v16,0,1,0,fixed
PPS-DEV-099,v18,0,1,0,fixed
PPS-DEV-099,v23,0,1,0,fixed
PPS-DEV-101,v8,0,1,0,fixed
PPS-DEV-103,v10,0,0,1,regressed
PPS-DEV-103,v14,0,1,0,fixed
PPS-DEV-103,v17,0,1,0,fixed
PPS-DEV-103,v18,0,1,0,fixed
PPS-DEV-104,v9,0,1,0,fixed
PPS-DEV-108,v5,0,1,0,fixed
PPS-DEV-109,v23,0,1,0,fixed
PPS-DEV-110,v10,0,1,0,fixed
PPS-DEV-113,v18,0,1,0,fixed
PPS-DEV-118,v18,0,0,1,regressed
PPS-DEV-124,v15,0,1,0,fixed
PPS-DEV-124,v16,0,1,0,fixed
PPS-DEV-125,v4,0,1,0,fixed
PPS-DEV-125,v14,0,1,0,fixed
PPS-DEV-127,v8,0,1,0,fixed
PPS-DEV-128,v6,0,1,0,fixed
PPS-DEV-128,v9,0,1,0,fixed
PPS-DEV-131,v20,1,1,0,regressed
PPS-DEV-132,v14,0,1,0,fixed
PPS-DEV-132,v17,0,1,0,fixed
PPS-DEV-132,v18,0,1,0,fixed
PPS-DEV-133,v17,0,1,0,fixed
PPS-DEV-133,v18,0,1,0,fixed
PPS-DEV-134,v17,0,1,0,fixed
PPS-DEV-134,v18,0,1,0,fixed
PPS-DEV-134,v20,1,1,0,regressed
PPS-DEV-137,v16,0,1,0,fixed
PPS-DEV-138,v10,0,0,1,regressed
PPS-DEV-138,v22,1,0,1,fixed
PPS-DEV-139,v10,0,0,1,regressed
PPS-DEV-139,v11,0,0,1,regressed
PPS-DEV-140,v16,0,1,0,fixed
PPS-DEV-140,v18,0,1,0,fixed
PPS-DEV-140,v23,1,1,0,regressed
PPS-DEV-141,v20,0,1,0,fixed
PPS-DEV-142,v18,0,0,1,regressed
PPS-DEV-143,v10,0,0,1,regressed
PPS-DEV-144,v18,0,1,0,fixed
PPS-DEV-144,v24,0,0,1,regressed
PPS-DEV-147,v11,0,0,1,regressed
PPS-DEV-147,v16,0,1,0,fixed
PPS-DEV-148,v18,0,1,0,fixed
PPS-DEV-149,v18,0,0,1,regressed
PPS-DEV-152,v9,0,1,0,fixed
PPS-DEV-152,v10,0,1,0,fixed
PPS-DEV-153,v16,0,1,0,fixed
PPS-DEV-153,v23,0,1,0,fixed
PPS-DEV-154,v18,0,0,1,regressed
PPS-DEV-155,v10,0,0,1,regressed
PPS-DEV-155,v14,0,1,0,fixed
PPS-DEV-160,v9,0,1,0,fixed
PPS-DEV-162,v9,0,1,0,fixed
PPS-DEV-165,v14,0,1,0,fixed
PPS-DEV-167,v24,0,0,1,regressed
PPS-DEV-169,v18,0,1,0,fixed
PPS-DEV-171,v10,0,0,1,regressed
PPS-DEV-176,v9,0,1,0,fixed
PPS-DEV-177,v14,0,1,0,fixed
PPS-DEV-180,v10,0,1,0,fixed
PPS-DEV-182,v14,0,1,0,fixed
PPS-DEV-183,v14,0,1,0,fixed
PPS-DEV-184,v14,0,1,0,fixed
PPS-DEV-189,v14,0,1,0,fixed
PPS-DEV-191,v11,0,0,1,regressed
PPS-DEV-191,v18,0,0,1,regressed
PPS-DEV-191,v22,0,1,0,fixed
PPS-DEV-194,v23,0,1,0,fixed
PPS-DEV-196,v9,0,1,0,fixed
PPS-DEV-199,v17,0,1,0,fixed
PPS-DEV-199,v18,0,1,0,fixed
