id,item,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-055,v13,0,1,,「중소기업기본법」제2조에 따른 소기업 또는 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서 ‘소기업·소상공인확인서(용도: 공공기관 입찰용)’를 소지한 자(유효기간 내 있어야함)
PPS-DEV-055,v15,1,0,,
PPS-DEV-055,v24,1,0,,
PPS-DEV-056,v10,0,1,,
PPS-DEV-056,v11,0,1,,
PPS-DEV-056,v12,1,0,,
PPS-DEV-057,v5,1,0,,
PPS-DEV-057,v14,1,0,,
PPS-DEV-057,v24,1,0,,
PPS-DEV-058,v1,1,0,,
PPS-DEV-058,v21,1,0,,
PPS-DEV-059,v2,0,1,,"공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
PPS-DEV-059,v4,1,0,"◦ 공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다.",
PPS-DEV-059,v13,0,1,,「중소기업기본법」 제2조제2항에 따른 소기업 및「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 [소기업·소상공인 확인서]를 소지한 자이어야 합니다.
PPS-DEV-059,v15,0,1,,「중소기업기본법」 제2조제2항에 따른 소기업 및「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 [소기업·소상공인 확인서]를 소지한 자이어야 합니다.
PPS-DEV-060,v10,0,1,,
PPS-DEV-061,v6,1,0,,
PPS-DEV-061,v8,0,1,,경기도 [지역:r1|단위=기초|광역=경기도] 지역 업체
PPS-DEV-061,v10,1,0,,
PPS-DEV-061,v11,1,0,,
PPS-DEV-061,v21,0,1,,※ 재위탁 및 공동수급 참여 불가
PPS-DEV-062,v4,1,0,"2) 공고일 전일 기준 최근 5년 이내 국가,정부투자기관에서 시행한 단일 건 3억 원(VAT포함) 이상의 축제, 공연 등 문화행사 수행실적이 있어야 합니다.",
PPS-DEV-062,v10,1,0,,
PPS-DEV-062,v11,1,0,,
PPS-DEV-062,v21,0,1,,
PPS-DEV-062,v24,1,0,,
PPS-DEV-063,v1,1,0,,
PPS-DEV-063,v7,1,0,마. 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 주된 영업소(지점 및 대리점 포함)“대구광역시”또는“경상북도”에 둔 업체,
PPS-DEV-063,v10,0,1,,
PPS-DEV-064,v10,1,0,,
PPS-DEV-064,v11,1,0,,
PPS-DEV-065,v13,0,1,,
PPS-DEV-065,v16,1,0,,
PPS-DEV-065,v21,0,1,,제안사 단독 입찰만 가능(공동수급 불허)
PPS-DEV-066,v5,0,1,,"공고일 전날부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점 소재지(개인사업자인 경우 해당사업에 관한 사업자등록증이나 관련 법령에 따른 허가·인가·등록·신고 등 관련서류의 사업장 소재지)가 경기도 여주, 양평에 있는 업체여야 합니다."
PPS-DEV-066,v6,1,0,,
PPS-DEV-066,v16,1,0,,
PPS-DEV-067,v16,1,0,,
PPS-DEV-068,v10,1,0,,
PPS-DEV-069,v2,1,0,○ | 최근 10년 이내 동종업종 실적 5천만원 이상 보유한 업체 |,
PPS-DEV-069,v10,1,0,,
PPS-DEV-069,v21,0,1,,구성원별 계약참여 최소 지분율은 10% 이상으로 하여야 합니다.
PPS-DEV-070,v6,1,0,,
PPS-DEV-070,v13,0,1,,"「중소기업기본법」제2조제2항, 「소상공인 보호 및 지원에 관한법률」제2조에 의거 소기업 또는 소상공인으로, 「중소기업 범위 및 확인에 관한 규정」에 따라 발급한 소기업 또는 소상공인 확인서를 소지한 업체만 입찰에 참가 가능합니다."
PPS-DEV-071,v6,1,0,,
PPS-DEV-071,v8,1,0,,
PPS-DEV-071,v12,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제9조 규정에 의거 직접생산확인증명서【기타행사기획및대행서비스(세부품명번호:8014199001)】를 소지한 업체
PPS-DEV-071,v24,1,0,,
PPS-DEV-072,v1,1,0,,
PPS-DEV-072,v6,1,0,,
PPS-DEV-072,v13,0,1,,"「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소기업 또는 소상공인으로서, 「중소기업 범위 및 확인에 관한 규정( [공고호수])」에 따라 발급된 소기업, 소상공인확인서(제안서 제출 마감일까지 제출하여야 하며, 그 확인은 제출 마감일까지 발생, 신고, 수정된 자료도 포함함)를 소지한 자"
PPS-DEV-072,v24,1,0,,
PPS-DEV-073,v17,1,0,,
PPS-DEV-073,v21,0,1,,공동계약(공동이행방식) 불가
PPS-DEV-074,v12,0,1,,
PPS-DEV-074,v13,1,0,,
PPS-DEV-075,v10,1,0,,
PPS-DEV-075,v11,0,1,,
PPS-DEV-076,v5,0,1,,
PPS-DEV-076,v13,1,0,,
PPS-DEV-076,v21,0,1,,공동수급은 허용하지 않습니다.
PPS-DEV-077,v12,0,1,,기타행사기획 및 대행서비스 부문의 직접생산확인증명서를 소지한 업체.
PPS-DEV-078,v12,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률」제9조 및 같은 법 시행령 제10조에 의한 직접생산확인증명서(세부품명 : 디자인서비스(8214150201)를 소지한 자
PPS-DEV-079,v5,0,1,,본 사업은 전북특별자치도 내 본사를 둔 사업에 한해서 입찰 가능
PPS-DEV-079,v13,0,1,,
PPS-DEV-079,v15,1,0,,
PPS-DEV-079,v24,1,0,,
PPS-DEV-080,v13,0,1,,｢중소기업기본법｣ 제2조에 따른 소기업자 또는 ｢소상공인기본법｣ 제2조에 따른 소상공인으로서 ｢중소기업 범위 및 확인에 관한 규정｣에 따라 발급된 <소기업·소상공인 확인서>를 소지한 업체
PPS-DEV-082,v3,0,1,,최근 5년 이내 VTOL 납품(계약) 실적
PPS-DEV-082,v9,0,1,,"제안업체는 비행체(탑재장비 일체 포함)의 형상, 모델명 및 일련번호를 제안서에 명시하여야 하며"
PPS-DEV-083,v9,0,1,,① 계약상대자 소유 15톤 이상 암롤차량 보유한 업체
PPS-DEV-085,v13,0,1,,「중소기업기본법」제2조에 따른 소기업자 또는 「소상공인보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 <소기업·소상공인 확인서>를 소지한 업체
PPS-DEV-086,v19,0,1,,제조사 정품공급 확약서 제출 여부
PPS-DEV-088,v9,0,1,,"수신기는 Maxwell 7칩이 내장된 Pro-point 처리기술을 이용하여 GPS(L1C/A, L2C, L2E, L5)GLONASS(L1C/A, L1P, L2C/A, L2P, L3), SBAS(L1C/A, L5), Galileo(GIOVE-A, GIOVE-B, E1, E5a, E5B) 및 COMPASS(B1, B2, B3) 수신이 가능한 672채널 이상 제품이여야 한다."
PPS-DEV-088,v19,0,1,,계약자는 협약금액을 임의로 변경할 수 없습니다.
PPS-DEV-090,v9,0,1,,IRU는 사용기간 확대를 위해 광섬유(Fiber Optic) 방식으로 교체
PPS-DEV-093,v16,0,1,,
PPS-DEV-093,v18,0,1,,
PPS-DEV-093,v20,0,1,,
PPS-DEV-093,v21,0,1,,"공동이행, 분담이행 불가"
PPS-DEV-094,v11,0,1,,
PPS-DEV-094,v13,0,1,,
PPS-DEV-095,v13,0,1,,다. 중소기업 기본법｣제2조에 따른 소기업 또는 ｢소상공인 보호 및 지원에 관한 법률｣제2조에 따른 소상공인으로서 ｢중소기업 범위 및 확인에 관한 규정｣ 에 따라 발급된 [소기업·소상공인 확인서]를 소지한 업체
PPS-DEV-096,v13,0,1,,「중소기업기본법」제2조에 따른 중/소기업자 및 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소기업 및 소상공인으로서 중/소기업·소상공인확인서(전자입찰서 제출 마감일 전일까지 발급된 것으로 유효기간 내에 있어야 함)를 소지한 업체이어야 합니다.
PPS-DEV-096,v19,0,1,,다. 정품공급확약서 제출이 가능한 업체이어야 합니다.
PPS-DEV-097,v16,0,1,,
PPS-DEV-097,v18,0,1,,
PPS-DEV-098,v19,0,1,,
PPS-DEV-099,v3,0,1,,최근 3년 이내 단일 건으로 5천만원 이상(부가세 포함)의 수행실적 기재
PPS-DEV-100,v10,0,1,,
PPS-DEV-100,v11,0,1,,
PPS-DEV-101,v13,0,1,,‘중소기업기본법’ 제2조 제2항에 따른 소기업 또는 ‘소상공인 보호 및 지원에 관한 법률’ 제2조에 따른 소상공인으로서 ‘중소기업 범위 및 확인에 관한 규정’에 따라 발급된 소기업‧소상공인확인서를 소지한 자
PPS-DEV-103,v12,0,1,,② 중소기업제품 구매촉진 및 판로지원에 관한 법률 제9조제1항에 따라 디자인 서비스(세부품명번호 8214150201)에 대한 직접생산확인증명서와 중소기업확인서를 소지한 자
PPS-DEV-103,v21,0,1,,③ 공동수급은 허용하지 않음
PPS-DEV-104,v9,0,1,,제조사 미국(이스턴)
PPS-DEV-104,v13,0,1,,
PPS-DEV-106,v10,0,1,,
PPS-DEV-106,v11,0,1,,
PPS-DEV-107,v10,0,1,,
PPS-DEV-107,v11,0,1,,
PPS-DEV-108,v11,0,1,,
PPS-DEV-108,v13,0,1,,
PPS-DEV-108,v15,0,1,,
PPS-DEV-110,v5,0,1,,
PPS-DEV-110,v9,0,1,,일본 KUBOTA사 완제품을 수입한 보통형 콤바인
PPS-DEV-110,v19,0,1,,제조사의 공급증명원/기술지원확약서를 계약시 반드시 제출하여야 한다.
PPS-DEV-112,v16,0,1,,
PPS-DEV-112,v18,0,1,,
PPS-DEV-113,v16,0,1,,
PPS-DEV-113,v18,0,1,,
PPS-DEV-113,v20,0,1,,
PPS-DEV-114,v11,0,1,,
PPS-DEV-114,v13,0,1,,
PPS-DEV-115,v16,0,1,,
PPS-DEV-115,v18,0,1,,
PPS-DEV-116,v13,0,1,,
PPS-DEV-117,v10,0,1,,
PPS-DEV-119,v8,0,1,,
PPS-DEV-119,v21,0,1,,본 사업은 단독입찰만 가능 *공동수급(컨소시엄 등) 및 제3자 일괄 재용역 불가
PPS-DEV-120,v11,0,1,,
PPS-DEV-120,v13,0,1,,(3) 입찰참가 대상에 따른 중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령 제 2조의 2에 의거 소기업(소상공인) 확인서를(응찰(개찰)일 까지 발급된 것으로 유효기간 내에 있어야 함)를 소지한 업체(2. 입찰에 부치는 사항 확인 必)
PPS-DEV-121,v5,0,1,,법인등기부상 본점 소재지(개인사업자의 경우에는 사업자등록증 또는 관련 법령에 따른 허가․인가․면허․등록․신고 등에 관련된 서류에 기재된 사업장의 소재지)가 서울특별시에 계속 소재하는 업체
PPS-DEV-121,v21,0,1,,구성원별 계약참여 최소지분율은 5% 이상이어야 합니다.
PPS-DEV-122,v13,0,1,,「중소기업기본법」제2조에 따른 소기업 및「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업․소상공인확인서를 소지한 업체
PPS-DEV-124,v13,0,1,,소기업 또는 소상공인·벤처기업·창업자 제한경쟁
PPS-DEV-128,v5,0,1,,입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 충청북도 내에 주된 영업소를 둔 업체
PPS-DEV-131,v20,1,0,,
PPS-DEV-132,v19,0,1,,제조사 정품공급 및 기술지원 확약서 제출
PPS-DEV-132,v20,1,0,,
PPS-DEV-133,v9,0,1,,본 규격은 사용 중인 RHEL 사용 권한 및 기술지원에 대한 연간 갱신을 위한 규격으로 업무연속성 및 호환성 확보를 위해 기존과 동일한 제조사의 단일 규격으로 지정
PPS-DEV-133,v20,1,0,,
PPS-DEV-134,v20,1,0,,
PPS-DEV-135,v13,0,1,,
PPS-DEV-136,v5,0,1,,지역제한(서울특별시) 대상 공고입니다.
PPS-DEV-136,v13,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」 제2조의2(중소기업자와의 우선조달계약)에 의한 소기업 또는 소상공인에 해당하는 자
PPS-DEV-138,v11,0,1,,
PPS-DEV-139,v13,0,1,,「중소기업기본법」 제2조에 따른 중·소기업 및 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 유효한 중·소기업ㆍ소상공인 확인서를 소지한 자
PPS-DEV-139,v23,1,0,현장설명회를 다음과 같이 개최합니다. 일시 : 2026. 3. 18.(수) 14:00 / 장소 : 발주기관 대회의실(세부사항은 담당부서 안내),
PPS-DEV-140,v23,1,0,6. 사업설명 : 과업설명회 개최 — 2026. 2. 2.(월) 15:00부터 수요기관 중회의실에서 진행합니다.,
PPS-DEV-141,v3,0,1,,"다. 입찰공고일 전일 기준으로 최근 5년 이내 국가, 지방자치단체, 공공기관 또는 민간 발주한 단일 건으로 8억원(부가가치세 포함) 이상의 축제행사, 문화행사 또는 이와 유사한 행사 대행 완료 실적이 있는 업체"
PPS-DEV-141,v21,0,1,,구성별 최소참여지분율은 5% 이상이어야 합니다.
PPS-DEV-141,v23,1,0,"5. 제안요청서 설명: 실시함 — 일시 2026. 2. 6.(금) 11:00, 장소 발주기관 별관 회의동(안내사항은 공고 게시판 참조)",
PPS-DEV-142,v13,0,1,,
PPS-DEV-143,v21,0,1,,공동수급체 대표자는 옥외광고사업자로 하고 지분율은 75%로 함
PPS-DEV-144,v13,0,1,,
PPS-DEV-144,v15,0,1,,
PPS-DEV-145,v3,0,1,,
PPS-DEV-145,v12,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률」제9조 및 같은 법 시행령 제10조의 규정에 의해 아래 세부 품명의 직접생산확인증명서를 소지한 업체
PPS-DEV-147,v12,0,1,,
PPS-DEV-148,v9,0,1,,1. 데스크톱컴퓨터(Z2 Tower G1i)
PPS-DEV-149,v21,0,1,,"※ 분담비율 : 처리업 79.14%, 수집·운반업 20.86%"
PPS-DEV-150,v13,0,1,,
PPS-DEV-151,v16,0,1,,
PPS-DEV-151,v18,0,1,,
PPS-DEV-152,v9,0,1,,"BRISTOL COMPRESSORS 원제조(공급)사는 KULTHORN KIRBY社이며, 계약상대자는 제시한 규격을 참고하여 원제조사의 순정품을 납품하여야 합니다."
