id,feature,truth,prediction,outcome,gold_evidence,scanner_evidence
PPS-DEV-02,v6,0,0,TN,,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
PPS-DEV-02,v7,0,0,TN,,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
PPS-DEV-02,v8,0,0,TN,,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
PPS-DEV-03,v2,1,1,TP,나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-03,v3,0,0,TN,,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-03,v4,0,0,TN,,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-03,v5,0,0,TN,,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-03,v6,0,0,TN,,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-03,v7,0,0,TN,,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-03,v8,0,0,TN,,"1. 입찰개요 ―――――――――――――――――――――――――――――――――――――――――――――――― 공 고 명 : 공공기관 청년복합공간 디자인 및 실시 설계 용역 (제한경쟁·1억원미만) 계 약 방 법 : 제한경쟁입찰 사 업 예 산 : 98,000,000원(부가가치세 포함) 추 정 가 격 : 89,090,909원(부가가치세 별도) 입 찰 방 법 : 제한경쟁 (총액, 실적) 낙찰자결정방법 : 협상에의한계약 계 약 기 간 : 계약일로부터 2026. 6. 30. || 나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체"
PPS-DEV-04,v2,0,0,TN,,"라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-04,v3,1,1,TP,"공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상(기초금액의 130% 이상)의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체","라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-04,v4,0,0,TN,,"라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-04,v5,0,0,TN,,"라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-04,v6,0,0,TN,,"라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-04,v7,0,0,TN,,"라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-04,v8,0,0,TN,,"라. 실적제한 - 공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상 (기초금액의 130% 이상) 의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체 ※ 공동수급 실적의 경우 계약금액에 분담비율을 곱하여 산정하며 실적인정과 관련된 사항은 발주처의 의견에 따릅니다. (인정범위, 추가서류 요구 포함)"
PPS-DEV-05,v2,0,0,TN,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-05,v3,1,1,TP,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-05,v4,0,0,TN,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-05,v5,0,0,TN,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-05,v6,0,0,TN,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-05,v7,0,0,TN,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-05,v8,1,0,FN,입찰공고일 전일 현재 제주특별자치도에 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 두고 당해자격을 입찰일(낙찰자는 계약체결일)까지 유지하고 있는 업체로서 다음 각호의 자격을 모두 충족하여야 합니다.,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자 ○ 위 실적의 금액은 발주기관이 확인한 최종 준공금액을 기준으로 산정합니다.
PPS-DEV-06,v2,0,0,TN,,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v3,0,0,TN,,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v4,1,1,TP,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v5,0,0,TN,,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v6,0,0,TN,,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v7,0,0,TN,,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v8,0,0,TN,,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체 || 다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-07,v2,0,0,TN,,
PPS-DEV-07,v3,0,0,TN,,
PPS-DEV-07,v4,0,0,TN,,
PPS-DEV-07,v5,1,1,TP,마. 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체,
PPS-DEV-07,v6,0,0,TN,,
PPS-DEV-07,v7,0,0,TN,,
PPS-DEV-07,v8,0,0,TN,,
PPS-DEV-08,v2,0,0,TN,,
PPS-DEV-08,v3,0,0,TN,,
PPS-DEV-08,v4,0,0,TN,,
PPS-DEV-08,v5,0,0,TN,,
PPS-DEV-08,v6,1,0,FN,라. 입찰공고일 전일부터 계약체결일까지 주된 영업소가 서울특별시 [지역:r1|단위=기초|광역=서울특별시] 내에 소재하고 있는 업체이어야 합니다.,
PPS-DEV-08,v7,0,0,TN,,
PPS-DEV-08,v8,0,0,TN,,
PPS-DEV-09,v2,0,0,TN,,
PPS-DEV-09,v3,0,0,TN,,
PPS-DEV-09,v4,0,0,TN,,
PPS-DEV-09,v5,0,0,TN,,
PPS-DEV-09,v6,0,0,TN,,
PPS-DEV-09,v7,1,0,FN,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.",
PPS-DEV-09,v8,0,0,TN,,
PPS-DEV-10,v2,0,0,TN,,
PPS-DEV-10,v3,0,0,TN,,
PPS-DEV-10,v4,0,0,TN,,
PPS-DEV-10,v5,0,0,TN,,
PPS-DEV-10,v6,0,0,TN,,
PPS-DEV-10,v7,1,0,FN,③ 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 계속하여 전북특별자치도 또는 충청남도 또는 충청북도에 둔 업체여야 합니다.,
PPS-DEV-10,v8,0,0,TN,,
PPS-DEV-11,v2,0,0,TN,,
PPS-DEV-11,v3,0,0,TN,,
PPS-DEV-11,v4,0,0,TN,,
PPS-DEV-11,v5,0,0,TN,,
PPS-DEV-11,v6,0,0,TN,,
PPS-DEV-11,v7,0,0,TN,,
PPS-DEV-11,v8,1,0,FN,최근 3년 이내에 단일 계약금액 5천만원 이상의 컨퍼런스·포럼 등 행사 운영 용역을 수행한 실적을 보유한 업체,
PPS-DEV-12,v2,0,0,TN,,
PPS-DEV-12,v3,0,0,TN,,
PPS-DEV-12,v4,0,0,TN,,
PPS-DEV-12,v5,0,0,TN,,
PPS-DEV-12,v6,0,0,TN,,
PPS-DEV-12,v7,0,0,TN,,
PPS-DEV-12,v8,0,0,TN,,
PPS-DEV-13,v2,0,0,TN,,
PPS-DEV-13,v3,0,0,TN,,
PPS-DEV-13,v4,0,0,TN,,
PPS-DEV-13,v5,0,0,TN,,
PPS-DEV-13,v6,0,0,TN,,
PPS-DEV-13,v7,0,0,TN,,
PPS-DEV-13,v8,0,0,TN,,
PPS-DEV-14,v2,0,0,TN,,
PPS-DEV-14,v3,0,0,TN,,
PPS-DEV-14,v4,0,0,TN,,
PPS-DEV-14,v5,0,0,TN,,
PPS-DEV-14,v6,0,0,TN,,
PPS-DEV-14,v7,0,0,TN,,
PPS-DEV-14,v8,0,0,TN,,
PPS-DEV-15,v2,0,0,TN,,
PPS-DEV-15,v3,0,0,TN,,
PPS-DEV-15,v4,0,0,TN,,
PPS-DEV-15,v5,0,0,TN,,
PPS-DEV-15,v6,0,0,TN,,
PPS-DEV-15,v7,0,0,TN,,
PPS-DEV-15,v8,0,0,TN,,
PPS-DEV-16,v2,0,0,TN,,
PPS-DEV-16,v3,0,0,TN,,
PPS-DEV-16,v4,0,0,TN,,
PPS-DEV-16,v5,0,0,TN,,
PPS-DEV-16,v6,0,0,TN,,
PPS-DEV-16,v7,0,0,TN,,
PPS-DEV-16,v8,0,0,TN,,
PPS-DEV-17,v2,0,0,TN,,
PPS-DEV-17,v3,0,0,TN,,
PPS-DEV-17,v4,0,0,TN,,
PPS-DEV-17,v5,0,0,TN,,
PPS-DEV-17,v6,0,0,TN,,
PPS-DEV-17,v7,0,0,TN,,
PPS-DEV-17,v8,0,0,TN,,
PPS-DEV-18,v2,0,0,TN,,
PPS-DEV-18,v3,0,0,TN,,
PPS-DEV-18,v4,0,0,TN,,
PPS-DEV-18,v5,0,0,TN,,
PPS-DEV-18,v6,0,0,TN,,
PPS-DEV-18,v7,0,0,TN,,
PPS-DEV-18,v8,0,0,TN,,
PPS-DEV-19,v2,0,0,TN,,
PPS-DEV-19,v3,0,0,TN,,
PPS-DEV-19,v4,0,0,TN,,
PPS-DEV-19,v5,0,0,TN,,
PPS-DEV-19,v6,0,0,TN,,
PPS-DEV-19,v7,0,0,TN,,
PPS-DEV-19,v8,0,0,TN,,
PPS-DEV-20,v2,0,0,TN,,
PPS-DEV-20,v3,0,0,TN,,
PPS-DEV-20,v4,0,0,TN,,
PPS-DEV-20,v5,0,0,TN,,
PPS-DEV-20,v6,0,0,TN,,
PPS-DEV-20,v7,0,0,TN,,
PPS-DEV-20,v8,0,0,TN,,
PPS-DEV-21,v2,0,0,TN,,
PPS-DEV-21,v3,0,0,TN,,
PPS-DEV-21,v4,0,0,TN,,
PPS-DEV-21,v5,0,0,TN,,
PPS-DEV-21,v6,0,0,TN,,
PPS-DEV-21,v7,0,0,TN,,
PPS-DEV-21,v8,0,0,TN,,
PPS-DEV-22,v2,0,0,TN,,
PPS-DEV-22,v3,0,0,TN,,
PPS-DEV-22,v4,0,0,TN,,
PPS-DEV-22,v5,0,0,TN,,
PPS-DEV-22,v6,0,0,TN,,
PPS-DEV-22,v7,0,0,TN,,
PPS-DEV-22,v8,0,0,TN,,
PPS-DEV-23,v2,0,0,TN,,
PPS-DEV-23,v3,0,0,TN,,
PPS-DEV-23,v4,0,0,TN,,
PPS-DEV-23,v5,0,0,TN,,
PPS-DEV-23,v6,0,1,FP,,
PPS-DEV-23,v7,0,0,TN,,
PPS-DEV-23,v8,0,0,TN,,
PPS-DEV-24,v2,0,0,TN,,
PPS-DEV-24,v3,0,0,TN,,
PPS-DEV-24,v4,0,0,TN,,
PPS-DEV-24,v5,0,0,TN,,
PPS-DEV-24,v6,0,0,TN,,
PPS-DEV-24,v7,0,0,TN,,
PPS-DEV-24,v8,0,0,TN,,
PPS-DEV-25,v2,0,0,TN,,
PPS-DEV-25,v3,0,0,TN,,
PPS-DEV-25,v4,0,0,TN,,
PPS-DEV-25,v5,0,0,TN,,
PPS-DEV-25,v6,0,0,TN,,
PPS-DEV-25,v7,0,0,TN,,
PPS-DEV-25,v8,0,0,TN,,
PPS-DEV-26,v2,0,0,TN,,
PPS-DEV-26,v3,0,0,TN,,
PPS-DEV-26,v4,0,0,TN,,
PPS-DEV-26,v5,0,0,TN,,
PPS-DEV-26,v6,0,0,TN,,
PPS-DEV-26,v7,0,0,TN,,
PPS-DEV-26,v8,0,0,TN,,
PPS-DEV-27,v2,0,0,TN,,
